/NY/D (Wu=0.000275) X,/NY/D (Wu=0.000275) Y
1,4.339117515261875e-09
1.1,4.407876771031326e-09
1.2,4.482877297425694e-09
1.3,4.565975085581796e-09
1.4,4.659169361174507e-09
1.5,4.764817852535622e-09
1.600000000000001,4.885812576010119e-09
1.700000000000001,5.025789897836099e-09
1.800000000000001,5.189354890340488e-09
1.900000000000001,5.382236818080063e-09
2.000000000000001,5.611168545654577e-09
2.100000000000001,5.88314560061111e-09
2.200000000000001,6.20384002186431e-09
2.300000000000001,6.575694945764179e-09
2.400000000000001,6.997098376021523e-09
2.500000000000001,7.463440667747616e-09
2.600000000000001,7.969103916970069e-09
2.700000000000002,8.508965211455595e-09
2.800000000000002,9.07898042407913e-09
2.900000000000002,9.676171595550273e-09
3.000000000000002,1.029840216073042e-08
3.100000000000002,1.09441401388535e-08
3.200000000000002,1.161227169618899e-08
3.300000000000002,1.230196908731744e-08
3.400000000000002,1.301260094415832e-08
3.500000000000002,1.374367212121026e-08
3.600000000000002,1.449478331251825e-08
3.700000000000002,1.526560371020995e-08
3.800000000000002,1.605585226842821e-08
3.900000000000003,1.686528468581284e-08
4.000000000000003,1.769368422976922e-08
4.100000000000002,1.854085517585629e-08
4.200000000000002,1.940661804962223e-08
4.300000000000002,2.029080612868561e-08
4.400000000000001,2.119326283648674e-08
4.500000000000001,2.211383977478436e-08
4.600000000000001,2.305239522036245e-08
4.7,2.400879296011608e-08
4.8,2.498290137625883e-08
4.899999999999999,2.597459271838587e-08
4.999999999999999,2.698374251273404e-08
5.099999999999999,2.801022907809125e-08
5.199999999999998,2.905393311363815e-08
5.299999999999998,3.011473734668898e-08
5.399999999999998,3.119252621641758e-08
5.499999999999997,3.228718558400502e-08
5.599999999999997,3.339860245664866e-08
5.699999999999997,3.452666471372432e-08
5.799999999999996,3.567126082758803e-08
5.899999999999996,3.683227956914099e-08
5.999999999999996,3.800960969048718e-08
6.099999999999995,3.920313957705489e-08
6.199999999999995,4.041275686309094e-08
6.299999999999994,4.163834800333168e-08
6.399999999999994,4.287979780169977e-08
6.499999999999994,4.413698889026344e-08
6.599999999999993,4.540980116915586e-08
6.699999999999993,4.669811120481415e-08
6.799999999999993,4.800179161009701e-08
6.899999999999992,4.932071040192705e-08
6.999999999999992,5.065473036495913e-08
7.099999999999992,5.200370841928867e-08
7.199999999999991,5.336749499048484e-08
7.299999999999991,5.474593337137504e-08
7.399999999999991,5.613885903063738e-08
7.49999999999999,5.754609881868995e-08
7.59999999999999,5.89674699867479e-08
7.69999999999999,6.040277891791788e-08
7.799999999999989,6.185181946235491e-08
7.899999999999989,6.331437071287366e-08
7.999999999999988,6.47901940801197e-08
8.099999999999989,6.627902943824153e-08
8.199999999999989,6.778059003139185e-08
8.299999999999988,6.929455580847323e-08
8.399999999999988,7.082056508060538e-08
8.499999999999988,7.235820254745972e-08
8.599999999999987,7.390698400618559e-08
8.699999999999987,7.546633541077973e-08
8.799999999999986,7.703556407680393e-08
8.899999999999986,7.861381837517402e-08
8.999999999999986,8.020003038958942e-08
9.099999999999985,8.179283275764802e-08
9.199999999999985,8.339043567545238e-08
9.299999999999985,8.499044150734846e-08
9.399999999999984,8.658955995673402e-08
9.499999999999984,8.818316367367259e-08
9.599999999999984,8.976458830161864e-08
9.699999999999983,9.13240348810987e-08
9.799999999999983,9.284690288946893e-08
9.899999999999983,9.43114871301298e-08
10,9.568655875749643e-08
